,Job Title,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,salary_estimate
80,Data Scientist,3.9,Nurx,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2016,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),171000.0
81,Jr. Business Data Analyst,4.7,webfx.com,"Harrisburg, PA","Harrisburg, PA",201 to 500 employees,1997,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),75000.0
82,Data Scientist,4.5,Johns Hopkins University Applied Physics Laboratory,"Laurel, MD","Laurel, MD",5001 to 10000 employees,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),180000.0
83,Data Analyst,4.3,Productive Edge,"Chicago, IL","Chicago, IL",51 to 200 employees,2008,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),105000.0
84,Data Engineer,4.0,Excella Consulting,"Arlington, VA","Arlington, VA",201 to 500 employees,2002,Company - Private,Consulting,Business Services,$50 to $100 million (USD),117000.0
85,Data Analyst,4.4,Gensco,"Tacoma, WA","Tacoma, WA",501 to 1000 employees,1948,Company - Private,Wholesale,Business Services,$100 to $500 million (USD),73000.0
86,Staff Data Scientist - Technology,3.2,Walmart,"Plano, TX","Bentonville, AR",10000+ employees,1962,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),192000.0
87,Data Scientist,3.8,Logic20/20,"San Jose, CA","Seattle, WA",201 to 500 employees,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),157000.0
88,Data Scientist,4.2,goTRG,"Miami, FL","Miami, FL",501 to 1000 employees,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),117500.0
89,Data Management Specialist,4.5,NMR Consulting,"Huntsville, AL","Chantilly, VA",51 to 200 employees,1996,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),63500.0
90,E-Commerce Data Analyst,3.5,iSeatz,"New Orleans, LA","New Orleans, LA",51 to 200 employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,65000.0
91,Sr. Scientist II,3.5,Nektar Therapeutics,"San Francisco, CA","San Francisco, CA",201 to 500 employees,1990,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),232500.0
92,Insurance Data Scientist,3.9,TransUnion,"Atlanta, GA","Chicago, IL",5001 to 10000 employees,1968,Company - Public,Financial Analytics & Research,Finance,$1 to $2 billion (USD),117000.0
93,Data Modeler,4.7,IT Concepts,"Landover, MD","Vienna, VA",51 to 200 employees,2003,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),146000.0
94,Data Analyst / Scientist,4.2,Scientific Research Corporation,"Patuxent River, MD","Atlanta, GA",1001 to 5000 employees,1988,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),98500.0
95,Scientist,3.4,General Dynamics Information Technology,"Suitland, MD","Fairfax, VA",10000+ employees,1996,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion (USD),113000.0
96,Data Scientist,3.2,MITRE,"McLean, VA","Bedford, MA",5001 to 10000 employees,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),133500.0
97,Data Scientist,3.9,The Buffalo Group,"Fort Belvoir, VA","Reston, VA",501 to 1000 employees,2010,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),136000.0
98,Data Analyst,3.1,DentaQuest,"Milwaukee, WI","Boston, MA",1001 to 5000 employees,2001,Company - Private,Insurance Carriers,Insurance,$2 to $5 billion (USD),76500.0
99,Lead Data Scientist,4.1,Redjack,"Silver Spring, MD","Silver Spring, MD",1 to 50 employees,2007,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,184000.0
100,Data Scientist,3.8,7Park Data,"New York, NY","New York, NY",51 to 200 employees,2012,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,165500.0
101,Data Scientist,4.7,Rapid Response Monitoring,"Syracuse, NY","Syracuse, NY",501 to 1000 employees,1992,Company - Private,Security Services,Business Services,Unknown / Non-Applicable,116000.0
102,"Data Scientist, Rice University",4.3,Trilogy Ed,"Houston, TX","New York, NY",1001 to 5000 employees,2015,Subsidiary or Business Segment,Education Training Services,Education,Unknown / Non-Applicable,120000.0
103,Senior Data Scientist,4.2,Gallup,"Washington, DC","Washington, DC",1001 to 5000 employees,1935,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,337500.0
104,Data Engineer,3.9,CapTech,"Charlotte, NC","Richmond, VA",1001 to 5000 employees,1997,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),129500.0
105,Senior Data Scientist,3.3,American Axle & Manufacturing,"Southfield, MI","Detroit, MI",10000+ employees,1994,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD),144500.0
106,Financial Data Analyst,4.7,CentralReach,"Matawan, NJ","Pompano Beach, FL",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,77000.0
107,Senior Data Analyst,4.3,Integrate,"Phoenix, AZ","Phoenix, AZ",201 to 500 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),74500.0
108,Research Scientist,2.9,Boys Town Hospital,"Omaha, NE","Omaha, NE",1001 to 5000 employees,1977,Hospital,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,80500.0
109,Data Scientist,4.5,Demandbase,"San Francisco, CA","San Francisco, CA",201 to 500 employees,2006,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),217500.0
110,Data Engineer,3.4,Sapphire Digital,"Lyndhurst, NJ","Lyndhurst, NJ",201 to 500 employees,2019,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,105000.0
111,Data Scientist,3.7,Takeda Pharmaceuticals,"Cambridge, MA","OSAKA, Japan",10000+ employees,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),155000.0
112,Data Scientist,4.6,<intent>,"New York, NY","New York, NY",51 to 200 employees,2009,Company - Private,Internet,Information Technology,$100 to $500 million (USD),200000.0
113,Data Scientist,3.2,Formation,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,183500.0
114,Data Engineer,4.0,Autodesk,"San Francisco, CA","San Rafael, CA",5001 to 10000 employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),146000.0
115,Ag Data Scientist,4.6,Beck's Hybrids,"Atlanta, IN","Atlanta, IN",501 to 1000 employees,1937,Company - Private,Farm Support Services,Agriculture & Forestry,$50 to $100 million (USD),110500.0
116,Data Scientist,2.8,DrFirst,"Rockville, MD","Rockville, MD",201 to 500 employees,2000,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,148500.0
117,Data Engineer,4.7,Object Partners,"Minneapolis, MN","Minneapolis, MN",51 to 200 employees,1996,Company - Private,Consulting,Business Services,$25 to $50 million (USD),127500.0
118,Data Scientist II,3.0,L.A. Care Health Plan,"Los Angeles, CA","Los Angeles, CA",1001 to 5000 employees,1997,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,165000.0
119,Senior Data Engineer,3.2,Red Ventures,"Charlotte, NC","Fort Mill, SC",1001 to 5000 employees,2000,Company - Private,Advertising & Marketing,Business Services,$1 to $2 billion (USD),181500.0
120,Data Scientist,4.4,Quick Base,"Cambridge, MA","Cambridge, MA",201 to 500 employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,139000.0
121,Data Scientist,3.5,The E.W. Scripps Company,"Cincinnati, OH","Cincinnati, OH",1001 to 5000 employees,1878,Company - Public,TV Broadcast & Cable Networks,Media,$500 million to $1 billion (USD),147500.0
122,Data Engineer,4.0,Upside Business Travel,"Washington, DC","Washington, DC",51 to 200 employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,164500.0
123,Data Engineer,4.3,Equity Residential,"Chicago, IL","Chicago, IL",1001 to 5000 employees,1993,Company - Public,Real Estate,Real Estate,$2 to $5 billion (USD),132500.0
124,Data Analyst,2.3,Synagro,"Baltimore, MD","Baltimore, MD",501 to 1000 employees,1986,Company - Private,Research & Development,Business Services,$100 to $500 million (USD),83500.0
125,Project Scientist,4.0,Alliance Source Testing,"Alabaster, AL","Decatur, AL",51 to 200 employees,2000,Unknown,Architectural & Engineering Services,Business Services,$25 to $50 million (USD),54000.0
126,Data Scientist,3.6,Accuride International,"Santa Fe Springs, Los Angeles, CA","Santa Fe Springs, CA",1001 to 5000 employees,1966,Company - Private,Industrial Manufacturing,Manufacturing,$100 to $500 million (USD),148500.0
127,Data Analytics Manager,3.8,Full Potential Solutions,"Kansas City, MO","Kansas City, MO",501 to 1000 employees,2017,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,53500.0
128,Senior Machine Learning (ML) Engineer / Data Scientist - Cyber Security Analytics,3.7,Visa Inc.,"Ashburn, VA","Foster City, CA",10000+ employees,1958,Company - Public,IT Services,Information Technology,$10+ billion (USD),120000.0
129,Data Scientist,4.4,Maven Wave Partners,"Chicago, IL","Chicago, IL",201 to 500 employees,2008,Company - Private,Consulting,Business Services,$50 to $100 million (USD),111000.0
130,Senior Data Scientist,4.0,Novetta,"Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),203000.0
131,Data Scientist,3.2,"First Command Financial Services, Inc.","Fort Worth, TX","Fort Worth, TX",1001 to 5000 employees,1958,Company - Private,Brokerage Services,Finance,$100 to $500 million (USD),117000.0
132,Associate Scientist,2.9,Pharmavite,"Valencia, CA","West Hills, CA",1001 to 5000 employees,1971,Company - Private,Consumer Products Manufacturing,Manufacturing,$1 to $2 billion (USD),107000.0
133,"Scientist 2, QC Viral Vector",3.8,BioMarin Pharmaceutical,"Novato, CA","San Rafael, CA",1001 to 5000 employees,1997,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$500 million to $1 billion (USD),224500.0
134,Machine Learning Engineer,4.3,Stratagem Group,"Aurora, CO","Aurora, CO",1 to 50 employees,2007,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,136500.0
135,Data Scientist/ML Engineer,3.4,PA Consulting,"New York, NY","London, United Kingdom",1001 to 5000 employees,1943,Company - Private,Consulting,Business Services,$100 to $500 million (USD),132500.0
136,Data Scientist,4.1,ManTech,"Chantilly, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),117000.0
137,Customer Data Scientist,4.3,h2o.ai,"Mountain View, CA","Mountain View, CA",201 to 500 employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,212500.0
138,Data Engineer,5.0,Gridiron IT,"Tampa, FL","Reston, VA",51 to 200 employees,2017,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,192500.0
139,Data Engineer,4.3,Productive Edge,"Chicago, IL","Chicago, IL",51 to 200 employees,2008,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),140000.0
140,Sr. Data Scientist,3.7,Evolve Vacation Rental,"Denver, CO","Denver, CO",201 to 500 employees,2011,Company - Private,Travel Agencies,Travel & Tourism,Unknown / Non-Applicable,145000.0
141,Data Engineer 4 - Contract,4.2,The Church of Jesus Christ of Latter-day Saints,"Riverton, UT","Salt Lake City, UT",10000+ employees,-1,Nonprofit Organization,Religious Organizations,Non-Profit,Unknown / Non-Applicable,116500.0
142,Data Analyst - Asset Management,4.3,Maximus Real Estate Partners,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2013,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,139000.0
143,Senior Research Scientist - Embedded System Development for DevOps,2.6,Software Engineering Institute,"Pittsburgh, PA","Pittsburgh, PA",501 to 1000 employees,1984,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,164500.0
144,Data Scientist - Bioinformatics,3.8,PNNL,"Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),91500.0
145,Data Engineer,3.9,AVANADE,"Washington, DC","Seattle, WA",10000+ employees,2000,Company - Private,IT Services,Information Technology,$2 to $5 billion (USD),117000.0
